Measurement results,,,,,,,,,,,,
MR_10_plates_template (1).skax,,,,,,,,,,,,
01/07/2024 16:22:41,,,,,,,,,,,,
 ,,,,,,,,,,,,
Absorbance 1,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M12,,,,,,,,,,,,
 ,,,,,,,,,,,,
F,1.9496,2.0495,2.0794,2.0798,2.1428,2.1212,2.1116,2.1386,2.1145,2.1383,2.1410,2.0204
G,1.9315,2.0828,2.0775,2.1040,2.0949,2.0982,2.1181,2.0877,2.1111,2.0921,2.0960,2.0243
H,1.9670,1.9497,1.9465,1.9813,1.9790,2.0087,2.0199,2.0365,2.0206,1.9764,2.0204,2.0160
,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12
A,Std0673,Std0674,Std0675,Std0676,Std0677,Std0678,Std0679,Std0680,Std0681,Std0682,Std0683,Std0684
B,Std0685,Std0686,Std0687,Std0688,Std0689,Std0690,Std0691,Std0692,Std0693,Std0694,Std0695,Std0696
C,Std0697,Std0698,Std0699,Std0700,Std0701,Std0702,Std0703,Std0704,Std0705,Std0706,Std0707,Std0708
D,Std0709,Std0710,Std0711,Std0712,Std0713,Std0714,Std0715,Std0716,Std0717,Std0718,Std0719,Std0720
E,Std0721,Std0722,Std0723,Std0724,Std0725,Std0726,Std0727,Std0728,Std0729,Std0730,Std0731,Std0732
F,Std0733,Std0734,Std0735,Std0736,Std0737,Std0738,Std0739,Std0740,Std0741,Std0742,Std0743,Std0744
G,Std0745,Std0746,Std0747,Std0748,Std0749,Std0750,Std0751,Std0752,Std0753,Std0754,Std0755,Std0756
H,Std0757,Std0758,Std0759,Std0760,Std0761,Std0762,Std0763,Std0764,Std0765,Std0766,Std0767,Std0768
,,,,,,,,,,,,
,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M23,,,,,,,,,,,,
 ,,,,,,,,,,,,
Abs,1,2,3,4,5,6,7,8,9,10,11,12
A,1.9330,1.8955,1.8739,1.9392,1.9841,1.9891,1.9977,2.0139,2.0422,2.0183,2.0475,1.9859
B,2.0195,2.1818,2.2172,2.2071,2.2164,2.2637,2.2780,2.2489,2.3144,2.2547,2.2843,2.0975
C,2.1171,2.1898,2.1728,2.2153,2.2348,2.2326,2.3202,2.2999,2.3177,2.3057,2.3168,2.1534
D,2.1384,2.2378,2.2284,2.2923,2.2617,2.2851,2.2776,2.3717,2.3237,2.3351,2.3487,2.1376
E,2.1435,2.2252,2.2257,2.2678,2.1964,2.2806,2.2763,2.3242,2.3447,2.3429,2.3331,2.1803
F,2.1712,2.2651,2.2378,2.2305,2.3080,2.2974,2.2894,2.3050,2.3593,2.3614,2.3430,2.1428
G,2.1268,2.2391,2.2128,2.2507,2.2827,2.2999,2.3282,2.3181,2.3417,2.3165,2.3648,2.1721
H,2.0963,2.1644,2.1885,2.2847,2.2657,2.2533,2.2957,2.3021,2.3201,2.3048,2.1858,2.1242
,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12
A,Std0769,Std0770,Std0771,Std0772,Std0773,Std0774,Std0775,Std0776,Std0777,Std0778,Std0779,Std0780
B,Std0781,Std0782,Std0783,Std0784,Std0785,Std0786,Std0787,Std0788,Std0789,Std0790,Std0791,Std0792
C,Std0793,Std0794,Std0795,Std0796,Std0797,Std0798,Std0799,Std0800,Std0801,Std0802,Std0803,Std0804
D,Std0805,Std0806,Std0807,Std0808,Std0809,Std0810,Std0811,Std0812,Std0813,Std0814,Std0815,Std0816
E,Std0817,Std0818,Std0819,Std0820,Std0821,Std0822,Std0823,Std0824,Std0825,Std0826,Std0827,Std0828
F,Std0829,Std0830,Std0831,Std0832,Std0833,Std0834,Std0835,Std0836,Std0837,Std0838,Std0839,Std0840
G,Std0841,Std0842,Std0843,Std0844,Std0845,Std0846,Std0847,Std0848,Std0849,Std0850,Std0851,Std0852
H,Std0853,Std0854,Std0855,Std0856,Std0857,Std0858,Std0859,Std0860,Std0861,Std0862,Std0863,Std0864
,,,,,,,,,,,,
,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M1,,,,,,,,,,,,
 ,,,,,,,,,,,,
Abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.9254,1.1444,1.1365,1.1367,1.1437,1.1499,1.1527,1.1663,1.1681,1.1148,1.1367,1.1711
B,1.1484,1.1593,1.1249,1.1596,1.1563,1.1572,1.1673,1.1651,1.1380,1.1627,1.1626,1.1481
C,1.1572,1.1498,1.1369,1.1604,1.1540,1.1616,1.1857,1.1882,1.1741,1.1707,1.1830,1.1683
D,1.1620,1.1535,1.1588,1.1549,1.1626,1.1594,1.1814,1.1739,1.1507,1.1808,1.1739,1.1747
E,1.1778,1.1526,1.1553,1.1770,1.1642,1.1488,1.1879,1.1048,1.1117,1.1751,1.1613,1.1599
F,1.1562,1.1631,1.1614,1.1740,1.1849,1.1446,1.1859,1.1350,1.1296,1.1597,1.1404,1.1768
G,1.1613,1.1445,1.1566,1.1289,1.1935,1.1536,1.1934,1.0844,1.1508,1.1573,1.1467,1.1684
H,1.1631,1.1546,1.1607,1.1538,1.1871,1.1570,1.1959,1.1046,1.1480,1.1465,1.1567,1.1715
,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12
A,Std0865,Std0866,Std0867,Std0868,Std0869,Std0870,Std0871,Std0872,Std0873,Std0874,Std0875,Std0876
B,Std0877,Std0878,Std0879,Std0880,Std0881,Std0882,Std0883,Std0884,Std0885,Std0886,Std0887,Std0888
C,Std0889,Std0890,Std0891,Std0892,Std0893,Std0894,Std0895,Std0896,Std0897,Std0898,Std0899,Std0900
D,Std0901,Std0902,Std0903,Std0904,Std0905,Std0906,Std0907,Std0908,Std0909,Std0910,Std0911,Std0912
E,Std0913,Std0914,Std0915,Std0916,Std0917,Std0918,Std0919,Std0920,Std0921,Std0922,Std0923,Std0924
F,Std0925,Std0926,Std0927,Std0928,Std0929,Std0930,Std0931,Std0932,Std0933,Std0934,Std0935,Std0936
G,Std0937,Std0938,Std0939,Std0940,Std0941,Std0942,Std0943,Std0944,Std0945,Std0946,Std0947,Std0948
H,Std0949,Std0950,Std0951,Std0952,Std0953,Std0954,Std0955,Std0956,Std0957,Std0958,Std0959,Std0960
,,,,,,,,,,,,
Autoloading range A1 - M253,,,,,,,,,,,,
